2265%Takashi Shimura 
2266%Anne Baxter
2267%Mustafa Kamel
2268%John Travolta 
2269%Ellen Widmann
2270%Gino Ardito 
2271%Edward James Olmos 
2272%Steve McQueen
2273%Claude Rains
2274%Vinnie Jones
2275%James Earl Jones
2276%Amanda Plummer
2277%Chris Sarandon
2278%Jacob Stringer 
2279%Matthew Broderick
2280%Bee Vang
2281%James Cosmo 
2282%Jennifer Morrison 
2283%Saurabh Shukla
2284%Don Rickles
2285%Florence Lee
2286%Ewen Bremner
2287%Daniel Day-Lewis
2288%Diane Keaton
2289%Andrew Kevin Walker
2290%Daniel Richter 
2291%Bibi Andersson
2292%Marlon Brando
2293%Nils Poppe
2294%Kerry Washington 
2295%John Gavin
2296%Yoshiko Shinohara
2297%Omar Sy
2298%J.D. Cannon
2299%James McAvoy
2300%Marisa Berenson
2301%Frank Morgan
2302%Lea Thompson
2303%Jay Baruchel 
2304%Barbara Bel Geddes
2305%Dennis Farina
2306%James Van Der Beek
2307%François Cluzet
2308%Richard Dreyfuss
2309%Alexandre Rodrigues
2310%Jeremy Irons 
2311%Hugo Weaving 
2312%Yôko Tsukasa
2313%Geoffrey Rush
2314%Richard Harris 
2315%Gabe Gomez 
2316%Kristin Rudrüd 
2317%Michael Fassbender
2318%Christopher Carley
2319%Edward Furlong
2320%Charles Laughton
2321%Toshirô Mifune
2322%Keanu Reeves
2323%Noel Appleby
2324%Frederic Forrest 
2325%Ellen Burstyn
2326%Thomas Mitchell 
2327%Ethan Hawke
2328%Robert Cummings
2329%Mario Brega 
2330%Robert Mitchum
2331%Maribel Verdú
2332%Lorraine Gary 
2333%Mads Mikkelsen
2334%Eli Wallach
2335%William Holden
2336%Elizabeth Berridge
2337%Chris Hemsworth 
2338%Glen Cavender
2339%Charley Grapewin 
2340%Elijah Wood
2341%George Segal
2342%Jon Voight 
2343%Jim Carrey
2344%Carol Kane 
2345%Jack Lemmon
2346%Doug Jones 
2347%Patrick Magee
2348%Michael Madsen
2349%Karl Malden
2350%Ruth Roman
2351%Cary Grant
2352%Alexandra Maria Lara
2353%Wil Wheaton
2354%Edward Burns
2355%Lillian Gish
2356%Corey Feldman
2357%Chiwetel Ejiofor
2358%Lionel Barrymore
2359%Sang-kyung Kim
2360%Jay C. Flippen 
2361%Michael J. Fox
2362%Joe Pantoliano
2363%Akemi Yamaguchi 
2364%Richard Widmark
2365%Jean Arthur
2366%Dexter Fletcher
2367%Min-sik Choi
2368%Adam Baldwin
2369%Eric Tsang 
2370%Akira Terao
2371%Mark Wahlberg 
2372%Gary Lockwood
2373%Jim Varney 
2374%Michael Gambon
2375%Edith Evanson 
2376%Gloria Swanson
2377%Marlene Dietrich
2378%Tiny Sandford 
2379%Peter Finch
2380%James Woods
2381%Veronica Cartwright
2382%Lee Van Cleef
2383%River Phoenix
2384%Matthew Braden Stringer
2385%William Sadler 
2386%Dickie Gravois
2387%Anthony Perkins
2388%Brad Pitt 
2389%Erich von Stroheim
2390%Russell Crowe
2391%Woody Allen
2392%Melinda Dillon
2393%Alexander Gould
2394%Samia Kerbash 
2395%Willem Dafoe
2396%Jennifer Lawrence 
2397%John Gielgud 
2398%Tom Hulce
2399%Perry Lopez 
2400%Katy Jurado 
2401%John Dall
2402%Miyu Irino
2403%Thomas Bo Larsen
2404%Keenan Wynn 
